[Data]
	C.O.V. Position									Rover Pose			Bogey Angles		Wheel position												time
	X			Y			Z			Pose			Right Bogey Angle	Left Bogey Angle	Left Front			Left Rear			Right Front			Right Rear			time
Index	Acceleration	Velocity	Position	Acceleration	Velocity	Position	Acceleration	Velocity	Position	Pitch	Yaw	Roll	Right	Left	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	Series
326																											5.416667
327																											5.433333
328																											5.450000
329																											5.466667
330																											5.483333
331																											5.500000
332																											5.516667
333																											5.533333
334																											5.550000
335																											5.566667
336																											5.583333
337																											5.600000
338																											5.616667
339																											5.633333
340																											5.650000
341																											5.666667
342																											5.683333
343																											5.700000
344																											5.716667
345																											5.733333
346																											5.750000
347																											5.766667
348																											5.783333
349																											5.800000
350																											5.816667
351																											5.833333
352																											5.850000
353																											5.866667
354																											5.883333
355																											5.900000
356																											5.916667
357																											5.933333
358																											5.950000
359																											5.966667
360																											5.983333
361																											6.000000
362																											6.016667
363																											6.033333
364																											6.050000
365																											6.066667
366																											6.083333
367																											6.100000
368																											6.116667
369																											6.133333
370																											6.150000
371																											6.166667
372																											6.183333
373																											6.200000
374																											6.216667
375																											6.233333
376																											6.250000
377																											6.266667
378																											6.283333
379																											6.300000
380																											6.316667
381																											6.333333
382																											6.350000
383																											6.366667
384																											6.383333
385																											6.400000
386																											6.416667
387																											6.433333
388																											6.450000
389																											6.466667
390																											6.483333
391																											6.500000
392																											6.516667
393																											6.533333
394																											6.550000
395																											6.566667
396																											6.583333
397																											6.600000
398																											6.616667
399																											6.633333
400																											6.650000
401																											6.666667
402																											6.683333
403																											6.700000
404																											6.716667
405																											6.733333
406																											6.750000
407																											6.766667
408																											6.783333
409																											6.800000
410																											6.816667
411																											6.833333
412																											6.850000
413																											6.866667
414																											6.883333
415																											6.900000
416																											6.916667
417																											6.933333
418																											6.950000
419																											6.966667
420																											6.983333
421																											7.000000
422																											7.016667
423																											7.033333
424																											7.050000
425																											7.066667
426																											7.083333
427																											7.100000
428																											7.116667
429																											7.133333
430																											7.150000
431																											7.166667
432																											7.183333
433																											7.200000
434																											7.216667
435																											7.233333
436																											7.250000
437																											7.266667
438																											7.283333
439																											7.300000
440																											7.316667
441																											7.333333
442																											7.350000
443																											7.366667
444																											7.383333
445																											7.400000
446																											7.416667
447																											7.433333
448																											7.450000
449																											7.466667
450																											7.483333
451																											7.500000
452																											7.516667
453																											7.533333
454																											7.550000
455																											7.566667
456																											7.583333
457																											7.600000
458																											7.616667
459																											7.633333
460																											7.650000
461																											7.666667
462																											7.683333
463																											7.700000
464																											7.716667
465																											7.733333
466																											7.750000
467																											7.766667
468																											7.783333
469																											7.800000
470																											7.816667
471																											7.833333
472																											7.850000
473																											7.866667
474																											7.883333
475																											7.900000
476																											7.916667
477																											7.933333
478																											7.950000
479																											7.966667
480																											7.983333
481																											8.000000
482																											8.016666
483																											8.033334
484																											8.050000
485																											8.066667
486																											8.083333
487																											8.100000
488																											8.116667
489																											8.133333
490																											8.150000
491																											8.166667
492																											8.183333
493																											8.200000
494																											8.216666
495																											8.233334
496																											8.250000
497																											8.266666
498																											8.283334
499																											8.300000
500																											8.316667
501																											8.333333
502																											8.350000
503																											8.366667
504																											8.383333
505																											8.400000
506																											8.416667
507																											8.433333
508																											8.450000
509																											8.466666
510																											8.483334
511																											8.500000
512																											8.516666
513																											8.533334
514																											8.550000
515																											8.566667
516																											8.583333
517																											8.600000
518																											8.616667
519																											8.633333
520																											8.650000
521																											8.666667
522																											8.683333
523																											8.700000
524																											8.716666
525																											8.733334
526																											8.750000
527																											8.766666
528																											8.783334
529																											8.800000
530																											8.816667
531																											8.833333
532																											8.850000
533																											8.866667
534																											8.883333
535																											8.900000
536																											8.916667
537																											8.933333
538																											8.950000
539																											8.966666
540																											8.983334
541																											9.000000
542																											9.016666
543																											9.033334
544																											9.050000
545																											9.066667
546																											9.083333
547																											9.100000
548																											9.116667
549																											9.133333
550																											9.150000
551																											9.166667
552																											9.183333
553																											9.200000
554																											9.216666
555																											9.233334
556																											9.250000
557																											9.266666
558																											9.283334
559																											9.300000
560																											9.316667
561																											9.333333
562																											9.350000
563																											9.366667
564																											9.383333
565																											9.400000
566																											9.416667
567																											9.433333
568																											9.450000
569																											9.466666
570																											9.483334
571																											9.500000
572																											9.516666
573																											9.533334
574																											9.550000
575																											9.566667
576																											9.583333
577																											9.600000
578																											9.616667
579																											9.633333
580																											9.650000
581																											9.666667
582																											9.683333
583																											9.700000
584																											9.716666
585																											9.733334
586																											9.750000
587																											9.766666
588																											9.783334
589																											9.800000
590																											9.816667
591																											9.833333
592																											9.850000
593																											9.866667
594																											9.883333
595																											9.900000
596																											9.916667
597																											9.933333
598																											9.950000
599																											9.966666
600																											9.983334
601																											10.000000
602																											10.016666
603																											10.033334
604																											10.050000
605																											10.066667
606																											10.083333
607																											10.100000
608																											10.116667
609																											10.133333
610																											10.150000
611																											10.166667
612																											10.183333
613																											10.200000
614																											10.216666
615																											10.233334
616																											10.250000
617																											10.266666
618																											10.283334
619																											10.300000
620																											10.316667
621																											10.333333
622																											10.350000
623																											10.366667
624																											10.383333
625																											10.400000
626																											10.416667
627																											10.433333
628																											10.450000
629																											10.466666
630																											10.483334
631																											10.500000
632																											10.516666
633																											10.533334
634																											10.550000
635																											10.566667
636																											10.583333
637																											10.600000
638																											10.616667
639																											10.633333
640																											10.650000
641																											10.666667
642																											10.683333
643																											10.700000
644																											10.716666
645																											10.733334
646																											10.750000
647																											10.766666
648																											10.783334
649																											10.800000
650																											10.816667
651																											10.833333
652																											10.850000
653																											10.866667
654																											10.883333
655																											10.900000
656																											10.916667
657																											10.933333
658																											10.950000
659																											10.966666
660																											10.983334
661																											11.000000
662																											11.016666
663																											11.033334
664																											11.050000
665																											11.066667
666																											11.083333
667																											11.100000
668																											11.116667
669																											11.133333
670																											11.150000
671																											11.166667
672																											11.183333
673																											11.200000
674																											11.216666
675																											11.233334
676																											11.250000
677																											11.266666
678																											11.283334
679																											11.300000
680																											11.316667
681																											11.333333
682																											11.350000
683																											11.366667
684																											11.383333
685																											11.400000
686																											11.416667
687																											11.433333
688																											11.450000
689																											11.466666
690																											11.483334
691																											11.500000
692																											11.516666
693																											11.533334
694																											11.550000
695																											11.566667
696																											11.583333
697																											11.600000
698																											11.616667
699																											11.633333
700																											11.650000
701																											11.666667
702																											11.683333
703																											11.700000
704																											11.716666
705																											11.733334
706																											11.750000
707																											11.766666
708																											11.783334
709																											11.800000
710																											11.816667
711																											11.833333
712																											11.850000
713																											11.866667
714																											11.883333
715																											11.900000
716																											11.916667
717																											11.933333
718																											11.950000
719																											11.966666
720																											11.983334
721																											12.000000
722																											12.016666
723																											12.033334
724																											12.050000
725																											12.066667
726																											12.083333
727																											12.100000
728																											12.116667
729																											12.133333
730																											12.150000
731																											12.166667
732																											12.183333
733																											12.200000
734																											12.216666
735																											12.233334
736																											12.250000
737																											12.266666
738																											12.283334
739																											12.300000
740																											12.316667
741																											12.333333
742																											12.350000
743																											12.366667
744																											12.383333
745																											12.400000
746																											12.416667
747																											12.433333
748																											12.450000
749																											12.466666
750																											12.483334
751																											12.500000
752																											12.516666
753																											12.533334
754																											12.550000
755																											12.566667
756																											12.583333
757																											12.600000
758																											12.616667
759																											12.633333
760																											12.650000
761																											12.666667
762																											12.683333
763																											12.700000
764																											12.716666
765																											12.733334
766																											12.750000
767																											12.766666
768																											12.783334
769																											12.800000
770																											12.816667
771																											12.833333
772																											12.850000
773																											12.866667
774																											12.883333
775																											12.900000
776																											12.916667
777																											12.933333
778																											12.950000
779																											12.966666
780																											12.983334
781																											13.000000
782																											13.016666
783																											13.033334
784																											13.050000
785																											13.066667
786																											13.083333
787																											13.100000
788																											13.116667
789																											13.133333
790																											13.150000
791																											13.166667
792																											13.183333
793																											13.200000
794																											13.216666
795																											13.233334
796																											13.250000
797																											13.266666
798																											13.283334
799																											13.300000
800																											13.316667
801																											13.333333
802																											13.350000
803																											13.366667
804																											13.383333
805																											13.400000
806																											13.416667
807																											13.433333
808																											13.450000
809																											13.466666
810																											13.483334
811																											13.500000
812																											13.516666
813																											13.533334
814																											13.550000
815																											13.566667
816																											13.583333
817																											13.600000
818																											13.616667
819																											13.633333
820																											13.650000
821																											13.666667
822																											13.683333
823																											13.700000
824																											13.716666
825																											13.733334
826																											13.750000
827																											13.766666
828																											13.783334
829																											13.800000
830																											13.816667
831																											13.833333
832																											13.850000
833																											13.866667
834																											13.883333
835																											13.900000
836																											13.916667
837																											13.933333
838																											13.950000
839																											13.966666
840																											13.983334
841																											14.000000
842																											14.016666
843																											14.033334
844																											14.050000
845																											14.066667
846																											14.083333
847																											14.100000
848																											14.116667
849																											14.133333
850																											14.150000
851																											14.166667
852																											14.183333
853																											14.200000
854																											14.216666
855																											14.233334
856																											14.250000
857																											14.266666
858																											14.283334
859																											14.300000
860																											14.316667
861																											14.333333
862																											14.350000
863																											14.366667
864																											14.383333
865																											14.400000
866																											14.416667
867																											14.433333
868																											14.450000
869																											14.466666
870																											14.483334
871																											14.500000
872																											14.516666
873																											14.533334
874																											14.550000
875																											14.566667
876																											14.583333
877																											14.600000
878																											14.616667
879																											14.633333
880																											14.650000
881																											14.666667
882																											14.683333
883																											14.700000
884																											14.716666
885																											14.733334
886																											14.750000
887																											14.766666
888																											14.783334
889																											14.800000
890																											14.816667
891																											14.833333
892																											14.850000
893																											14.866667
894																											14.883333
895																											14.900000
896																											14.916667
897																											14.933333
898																											14.950000
899																											14.966666
900																											14.983334
901																											15.000000
902																											15.016666
903																											15.033334
904																											15.050000
905																											15.066667
906																											15.083333
907																											15.100000
908																											15.116667
909																											15.133333
910																											15.150000
911																											15.166667
912																											15.183333
913																											15.200000
914																											15.216666
915																											15.233334
916																											15.250000
917																											15.266666
918																											15.283334
919																											15.300000
920																											15.316667
921																											15.333333
922																											15.350000
923																											15.366667
924																											15.383333
925																											15.400000
926																											15.416667
927																											15.433333
928																											15.450000
929																											15.466666
930																											15.483334
931																											15.500000
932																											15.516666
933																											15.533334
934																											15.550000
935																											15.566667
936																											15.583333
937																											15.600000
938																											15.616667
939																											15.633333
940																											15.650000
941																											15.666667
942																											15.683333
943																											15.700000
944																											15.716666
945																											15.733334
946																											15.750000
947																											15.766666
948																											15.783334
949																											15.800000
950																											15.816667
951																											15.833333
952																											15.850000
953																											15.866667
954																											15.883333
955																											15.900000
956																											15.916667
957																											15.933333
958																											15.950000
959																											15.966666
960																											15.983334
961																											16.000000
962																											16.016666
963																											16.033333
964																											16.049999
965																											16.066668
966																											16.083334
967																											16.100000
968																											16.116667
969																											16.133333
970																											16.150000
971																											16.166666
972																											16.183332
973																											16.200001
974																											16.216667
975																											16.233334
976																											16.250000
977																											16.266666
978																											16.283333
979																											16.299999
980																											16.316668
981																											16.333334
982																											16.350000
983																											16.366667
984																											16.383333
985																											16.400000
986																											16.416666
987																											16.433332
988																											16.450001
989																											16.466667
990																											16.483334
991																											16.500000
992																											16.516666
993																											16.533333
994																											16.549999
995																											16.566668
996																											16.583334
997																											16.600000
998																											16.616667
999																											16.633333
1000																											16.650000
1001																											16.666666
1002																											16.683332
1003																											16.700001
1004																											16.716667
1005																											16.733334
1006																											16.750000
1007																											16.766666
1008																											16.783333
1009																											16.799999
1010																											16.816668
1011																											16.833334
1012																											16.850000
1013																											16.866667
1014																											16.883333
1015																											16.900000
1016																											16.916666
1017																											16.933332
1018																											16.950001
1019																											16.966667
1020																											16.983334
1021																											17.000000
1022																											17.016666
1023																											17.033333
1024																											17.049999
1025																											17.066668
1026																											17.083334
1027																											17.100000
1028																											17.116667
1029																											17.133333
1030																											17.150000
1031																											17.166666
1032																											17.183332
1033																											17.200001
1034																											17.216667
1035																											17.233334
1036																											17.250000
1037																											17.266666
1038																											17.283333
1039																											17.299999
1040																											17.316668
1041																											17.333334
1042																											17.350000
1043																											17.366667
1044																											17.383333
1045																											17.400000
1046																											17.416666
1047																											17.433332
1048																											17.450001
1049																											17.466667
1050																											17.483334
1051																											17.500000
1052																											17.516666
1053																											17.533333
1054																											17.549999
1055																											17.566668
1056																											17.583334
1057																											17.600000
1058																											17.616667
1059																											17.633333
1060																											17.650000
1061																											17.666666
1062																											17.683332
1063																											17.700001
1064																											17.716667
1065																											17.733334
1066																											17.750000
1067																											17.766666
1068																											17.783333
1069																											17.799999
1070																											17.816668
1071																											17.833334
1072																											17.850000
1073																											17.866667
